"name","category","evas","longitude","latitude"
"Barthmühle",6,"08011115",12.163681,50.557957
"Baruth (Mark)",6,"08011116",13.511963,52.057916
"Bassum",4,"08000354",8.739924,52.847388
"Batzenhäusle",6,"08000821",7.94108,48.089064
"Batzhausen",6,"08000822",11.593033,49.191364
"Baumschulenweg",4,"08089004",13.490097,52.467244
"Baunach",6,"08000826",10.854115,49.98909
"Baunatal-Guntershausen",5,"08000140",9.466997,51.229917
"Baunatal-Rengershausen",6,"08005039",9.468667,51.254922
"Bautzen",4,"08010026",14.428735,51.173097
"Bavendorf",7,"08000827",10.629537,53.187474
"Bayerisch Eisenstein",6,"08000830",13.2088017,49.12147
"Bayerisch Gmain",6,"08000831",12.89507,47.720375
"Bayreuth Hbf",3,"08000028",11.579985,49.949616
"Bayrischzell",6,"08000834",12.0111573,47.6755453
"Bebitz",7,"08011119",11.763967,51.724136
"Bebra",3,"08000029",9.797788,50.969568
"Beckingen (Saar)",6,"08000840",6.688021,49.386881
"Beckum-Neubeckum",4,"08004251",8.0209744,51.8018514
"Bedburg (Erft)",6,"08000030",6.57313406,50.9867541
"Bedburg-Hau",6,"08000842",6.173479,51.758052
"Beelen",6,"08000846",8.116159,51.92932
"Beelitz Stadt",6,"08013468",12.96686,52.239395
"Beelitz-Heilstätten",6,"08013467",12.926057,52.262345
"Beeskow",6,"08010029",14.250974,52.177684
"Beetz-Sommerfeld",6,"08011125",13.022086,52.804259
"Behringersdorf",6,"08000850",11.198498,49.481574
"Beienheim",6,"08000851",8.821022,50.359131
"Beilrode",6,"08011131",13.064935,51.571005
"Beimerstetten",6,"08000858",9.976835,48.480974
"Beldorf",7,"08000860",9.356217,54.125266
"Belgershain",6,"08011132",12.542785,51.233947
"Belleben",7,"08011133",11.633376,51.673603
"Bellenberg",6,"08000862",10.09039,48.254645
"Bellevue",4,"08089005",13.348263,52.519955
"Bellheim",6,"08000863",8.29456,49.188303
"Bellheim Am Mühlbuckel",6,"08000861",8.297626,49.192639
"Bempflingen",6,"08000865",9.273425,48.572364
"Benediktbeuern",6,"08000869",11.403051,47.709121
"Bengel",6,"08000870",7.05803,50.010379
"Bennemühlen",5,"08000871",9.726836,52.580993
"Bennewitz",6,"08013362",12.70843,51.355926
"Bennigsen",5,"08000872",9.666376,52.240733
"Benningen (Neckar)",5,"08000873",9.244504,48.943614
"Bennungen",6,"08011138",11.122989,51.464006
"Benshausen",7,"08011139",10.602208,50.657009
"Bensheim",4,"08000031",8.616717,49.681329
"Bensheim-Auerbach",5,"08000877",8.613366,49.701557
"Bentwisch",6,"08011140",12.210506,54.117193
"Beratzhausen",5,"08000882",11.807853,49.092846
"Berchtesgaden Hbf",5,"08000885",12.999058,47.626688
"Berg (Pfalz)",7,"08000890",8.212761,48.980676
"Berga (Elster)",6,"08011144",12.158865,50.747189
"Berga-Kelbra",6,"08010032",11.0148132,51.4520614
"Bergen (Oberbay)",6,"08000888",12.592846,47.82527
"Bergen auf Rügen",3,"08010033",13.417821,54.4205
"Bergenweiler",7,"08000889",10.272879,48.576297
"Bergfelde (b Berlin)",4,"08080100",13.320244,52.670303
"Berghausen",7,"08000892",8.35001,51.033036
"Berghausen (Pfalz)",6,"08000894",8.406173,49.295449
"Bergheim (Erft)",6,"08000355",6.646302,50.951706
"Bergisch Gladbach",5,"08000899",7.124553,50.991461
"Bergsdorf",7,"08011149",13.260794,52.936565
"Bergtheim",6,"08000902",10.076473,49.8993
"Bergwitz",6,"08011150",12.576213,51.803696
"Beringhausen",7,"08000904",8.751414,51.407771
"Beringstedt",7,"08000905",9.537501,54.113667
"Berkenbrück",6,"08011154",14.165217,52.35719
"Berlin Anhalter Bahnhof",3,"08089002",13.381362,52.503486
"Berlin Brandenburger Tor",4,"08089044",13.381815,52.516506
"Berlin Frankfurter Allee",3,"08089013",13.47441,52.515168
"Berlin Gesundbrunnen",1,"08011102,08089015",13.388513,52.548963
"Berlin Hauptbahnhof",1,"08011160,08089021,08098160",13.369545,52.525592
"Berlin Ostbahnhof",1,"08010255,08089185",13.4346807,52.5104881
"Berlin Ostkreuz",2,"08011162,08089028",13.469105,52.503037
"Berlin Potsdamer Platz",2,"08011118,08089032",13.375988,52.509379
"Berlin Südkreuz",1,"08011113,08089073",13.365319,52.475047
"Berlin Zoologischer Garten",2,"08010406,08089046",13.3324447,52.5073407
"Berlin-Adlershof",4,"08089052",13.541129,52.435031
"Berlin-Blankenburg",4,"08089056",13.44333,52.591164
"Berlin-Buch",4,"08089057",13.492286,52.636162
"Berlin-Charlottenburg",3,"08010403,08089165",13.3023298,52.5042126
"Berlin-Friedrichshagen",4,"08089060",13.6246,52.457247
"Berlin-Friedrichstraße",2,"08011306,08089066",13.3872056,52.520373
"Berlin-Frohnau",4,"08089061",13.289934,52.632758
"Berlin-Grunewald",4,"08089062",13.26172,52.488693
"Berlin-Grünau",4,"08089063",13.573497,52.413028
"Berlin-Halensee",4,"08089109",13.290326,52.496254
"Berlin-Hermsdorf",4,"08089064",13.30769,52.617782
"Berlin-Hohenschönhausen",3,"08011901,08089117",13.5124218,52.5660016
"Berlin-Karlshorst",4,"08010035,08089193",13.5279465,52.4797942
"Berlin-Karow",4,"08011046",13.469204,52.614884
"Berlin-Kaulsdorf",4,"08089068",13.58894,52.512093
"Berlin-Köpenick",4,"08089069",13.580942,52.45861
"Berlin-Lichtenberg",2,"08010036,08089182",13.4966934,52.5101355
"Berlin-Lichterfelde Ost",3,"08011041,08089113",13.328556,52.429451
"Berlin-Lichterfelde West",4,"08089071",13.293732,52.44335
"Berlin-Mahlsdorf",3,"08011343,08089072",13.611417,52.512107
"Berlin-Marienfelde",5,"08089074",13.375127,52.423634
"Berlin-Marzahn",4,"08089075",13.541341,52.543608
"Berlin-Neukölln",3,"08089077",13.44306,52.46942
"Berlin-Nordbahnhof",4,"08089024",13.388464,52.532066
"Berlin-Pankow",5,"08089080",13.41077,52.566477
"Berlin-Rummelsburg",4,"08089084",13.478362,52.501309
"Berlin-Schlachtensee",4,"08089085",13.215025,52.439976
"Berlin-Schöneweide Pbf",3,"08010041,08089168",13.509395,52.455127
"Berlin-Schönholz",4,"08089087",13.381111,52.571422
"Berlin-Spandau",2,"08010404,08089083",13.1968975,52.5346481
"Berlin-Spindlersfeld",5,"08089088",13.561448,52.447162
"Berlin-Staaken",6,"08013021",13.141367,52.537693
"Berlin-Tegel",4,"08089089",13.289781,52.587998
"Berlin-Tempelhof",4,"08089090",13.384547,52.470967
"Berlin-Wannsee",2,"08010405,08089190",13.1795275,52.4209723
"Berlin-Westkreuz",3,"08089047",13.283966,52.500737
"Berlin-Wilhelmsruh",4,"08089095",13.362976,52.581447
"Berlin-Zehlendorf",4,"08089098",13.258659,52.431067
"Berliner Tor",3,"08000908",10.02463,53.55287
"Bermatingen-Ahausen",6,"08000909",9.345157,47.730488
"Bernau (b Berlin)",3,"08013470,08089205",13.5926414,52.6755689
"Bernau a. Chiemsee",5,"08000911",12.380957,47.816482
"Bernau-Friedenstal",5,"08089099",13.564578,52.668385
"Bernburg Hbf",5,"08010043",11.751455,51.79612
"Bernburg-Roschwitz",6,"08011605",11.7593,51.7811
"Bernburg-Strenzfeld",6,"08011169",11.717645,51.819892
"Bernburg-Waldau Hp",7,"08011170",11.723312,51.805781
"Berne",6,"08000913",8.475368,53.183779
"Bernried",6,"08000918",11.283658,47.861387
"Bernterode",6,"08011172",10.479945,51.405465
"Bersenbrück",6,"08000919",7.942405,52.551242
"Berthelsdorf (Erzgeb)",7,"08010044",13.363608,50.875591
"Berzhahn",7,"08000921",8.006031,50.539891
"Besch",6,"08000923",6.372303,49.504391
"Besigheim",5,"08000925",9.136645,48.997723
"Besseringen",6,"08000926",6.602559,49.475974
